Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Olay,Chrome 95.0.4638.69,,,2021-12-14 14:55:09,2021-12-14 14:56:30,1m - 21.299s,FAILED
,,,,,,,
Test Cases/microsites/Tc1-Login,Chrome 95.0.4638.69,Olay Login,,2021-12-14 14:55:09,2021-12-14 14:55:33,23.565s,PASSED
"openBrowser("""")",Chrome 95.0.4638.69,,,2021-12-14 14:55:09,2021-12-14 14:55:10,0.813s,PASSED
navigateToUrl(Url),Chrome 95.0.4638.69,,,2021-12-14 14:55:10,2021-12-14 14:55:31,20.686s,PASSED
maximizeWindow(),Chrome 95.0.4638.69,,,2021-12-14 14:55:31,2021-12-14 14:55:31,0.122s,PASSED
"setText(findTestObject(""Object Repository/Microsite Prod/Page_Olay Holiday Program/input_WELCOME_mat-input-0""), Username)",Chrome 95.0.4638.69,,,2021-12-14 14:55:31,2021-12-14 14:55:31,0.584s,PASSED
"setText(findTestObject(""Object Repository/Microsite Prod/Page_Olay Holiday Program/input__mat-input-1""), Password)",Chrome 95.0.4638.69,,,2021-12-14 14:55:31,2021-12-14 14:55:32,0.838s,PASSED
"click(findTestObject(""Object Repository/Microsite Prod/Page_Olay Holiday Program/button_SUBMIT""))",Chrome 95.0.4638.69,,,2021-12-14 14:55:32,2021-12-14 14:55:33,0.289s,PASSED
closeBrowser(),Chrome 95.0.4638.69,,,2021-12-14 14:55:33,2021-12-14 14:55:33,0.076s,PASSED
,,,,,,,
Test Cases/microsites/Tc2-Reset password,Chrome 95.0.4638.69,Forget password,,2021-12-14 14:55:33,2021-12-14 14:55:48,14.963s,PASSED
"openBrowser("""")",Chrome 95.0.4638.69,,,2021-12-14 14:55:33,2021-12-14 14:55:33,0.373s,PASSED
navigateToUrl(Url),Chrome 95.0.4638.69,,,2021-12-14 14:55:33,2021-12-14 14:55:45,12.237s,PASSED
"click(findTestObject(""Object Repository/Microsite Prod/Page_Olay Holiday Program/a_Already registered but forgot your passwo_7296b8""))",Chrome 95.0.4638.69,,,2021-12-14 14:55:45,2021-12-14 14:55:46,0.326s,PASSED
"setText(findTestObject(""Object Repository/Microsite Prod/Page_Olay Holiday Program/input_Forgot Password_mat-input-2""), Username)",Chrome 95.0.4638.69,,,2021-12-14 14:55:46,2021-12-14 14:55:47,1.363s,PASSED
"click(findTestObject(""Object Repository/Microsite Prod/Page_Olay Holiday Program/button_SUBMIT""))",Chrome 95.0.4638.69,,,2021-12-14 14:55:47,2021-12-14 14:55:48,0.481s,PASSED
closeBrowser(),Chrome 95.0.4638.69,,,2021-12-14 14:55:48,2021-12-14 14:55:48,0.074s,PASSED
,,,,,,,
Test Cases/microsites/Tc4- upload receipt,Chrome 95.0.4638.69,,,2021-12-14 14:56:28,2021-12-14 14:56:30,2.475s,FAILED
"openBrowser("""")",Chrome 95.0.4638.69,,,2021-12-14 14:56:28,2021-12-14 14:56:28,0.411s,PASSED
navigateToUrl(Url),Chrome 95.0.4638.69,,,2021-12-14 14:56:28,2021-12-14 14:56:30,1.946s,PASSED
"click(findTestObject(""Object Repository/Microsite Prod/Page_Olay Holiday Program/div_Email""))",Chrome 95.0.4638.69,,,2021-12-14 14:56:30,2021-12-14 14:56:30,0.112s,FAILED
