Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Olay,Chrome 95.0.4638.69,,,2021-12-14 15:50:48,2021-12-14 15:52:44,1m - 55.595s,ERROR
,,,,,,,
Test Cases/microsites/Tc1-Login,Chrome 95.0.4638.69,Olay Login,,2021-12-14 15:50:49,2021-12-14 15:51:02,13.651s,PASSED
"openBrowser("""")",Chrome 95.0.4638.69,,,2021-12-14 15:50:49,2021-12-14 15:50:50,0.994s,PASSED
navigateToUrl(Url),Chrome 95.0.4638.69,,,2021-12-14 15:50:50,2021-12-14 15:51:01,10.726s,PASSED
maximizeWindow(),Chrome 95.0.4638.69,,,2021-12-14 15:51:01,2021-12-14 15:51:01,0.123s,PASSED
"setText(findTestObject(""Object Repository/Microsite Prod/Page_Olay Holiday Program/input_WELCOME_mat-input-0""), Username)",Chrome 95.0.4638.69,,,2021-12-14 15:51:01,2021-12-14 15:51:01,0.635s,PASSED
"setText(findTestObject(""Object Repository/Microsite Prod/Page_Olay Holiday Program/input__mat-input-1""), Password)",Chrome 95.0.4638.69,,,2021-12-14 15:51:01,2021-12-14 15:51:02,0.579s,PASSED
"click(findTestObject(""Object Repository/Microsite Prod/Page_Olay Holiday Program/button_SUBMIT""))",Chrome 95.0.4638.69,,,2021-12-14 15:51:02,2021-12-14 15:51:02,0.307s,PASSED
closeBrowser(),Chrome 95.0.4638.69,,,2021-12-14 15:51:02,2021-12-14 15:51:02,0.082s,PASSED
,,,,,,,
Test Cases/microsites/Tc2-Reset password,Chrome 95.0.4638.69,Forget password,,2021-12-14 15:51:02,2021-12-14 15:51:15,13.025s,PASSED
"openBrowser("""")",Chrome 95.0.4638.69,,,2021-12-14 15:51:02,2021-12-14 15:51:03,0.402s,PASSED
navigateToUrl(Url),Chrome 95.0.4638.69,,,2021-12-14 15:51:03,2021-12-14 15:51:13,10.533s,PASSED
"click(findTestObject(""Object Repository/Microsite Prod/Page_Olay Holiday Program/a_Already registered but forgot your passwo_7296b8""))",Chrome 95.0.4638.69,,,2021-12-14 15:51:13,2021-12-14 15:51:14,0.322s,PASSED
"setText(findTestObject(""Object Repository/Microsite Prod/Page_Olay Holiday Program/input_Forgot Password_mat-input-2""), Username)",Chrome 95.0.4638.69,,,2021-12-14 15:51:14,2021-12-14 15:51:15,1.077s,PASSED
"click(findTestObject(""Object Repository/Microsite Prod/Page_Olay Holiday Program/button_SUBMIT""))",Chrome 95.0.4638.69,,,2021-12-14 15:51:15,2021-12-14 15:51:15,0.494s,PASSED
closeBrowser(),Chrome 95.0.4638.69,,,2021-12-14 15:51:15,2021-12-14 15:51:15,0.076s,PASSED
,,,,,,,
