Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Microsite Prod/Page_Olay Holiday Program/span_SUBMIT""))",Chrome 95.0.4638.69,,,2021-12-14 17:31:41,2021-12-14 17:31:41,0.301s,PASSED
closeBrowser(),Chrome 95.0.4638.69,,,2021-12-14 17:31:41,2021-12-14 17:31:41,0.070s,PASSED
,,,,,,,
Test Cases/microsites/Tc5-FAQ,Chrome 95.0.4638.69,,,2021-12-14 17:32:28,2021-12-14 17:32:42,14.258s,ERROR
"openBrowser("""")",Chrome 95.0.4638.69,,,2021-12-14 17:32:28,2021-12-14 17:32:28,0.399s,PASSED
navigateToUrl(Url),Chrome 95.0.4638.69,,,2021-12-14 17:32:28,2021-12-14 17:32:38,9.704s,PASSED
"setText(findTestObject(""Object Repository/Microsite Prod/Page_Olay Holiday Program/input_WELCOME_mat-input-0""), Username)",Chrome 95.0.4638.69,,,2021-12-14 17:32:38,2021-12-14 17:32:39,0.536s,PASSED
"setText(findTestObject(""Object Repository/Microsite Prod/Page_Olay Holiday Program/input__mat-input-1""), Password)",Chrome 95.0.4638.69,,,2021-12-14 17:32:39,2021-12-14 17:32:39,0.519s,PASSED
"click(findTestObject(""Object Repository/Microsite Prod/Page_Olay Holiday Program/button_SUBMIT""))",Chrome 95.0.4638.69,,,2021-12-14 17:32:39,2021-12-14 17:32:39,0.270s,PASSED
"click(findTestObject(""Object Repository/Microsite Prod/Page_Olay Holiday Program/span_SUPPORT_hamburger-box""))",Chrome 95.0.4638.69,,,2021-12-14 17:32:39,2021-12-14 17:32:41,1.589s,PASSED
"click(findTestObject(""Object Repository/Microsite Prod/Page_Olay Holiday Program/button_Faq""))",Chrome 95.0.4638.69,,,2021-12-14 17:32:41,2021-12-14 17:32:41,0.319s,PASSED
"click(findTestObject(""Object Repository/Microsite Prod/Page_Olay Holiday Program/mat-panel-title_How long do I have to submi_b881c2""))",Chrome 95.0.4638.69,,,2021-12-14 17:32:41,2021-12-14 17:32:42,0.908s,PASSED
"click(findTestObject(""Object Repository/Microsite Prod/Page_Olay Holiday Program/mat-panel-title_How long do I have to submi_b881c2"", 20))",Chrome 95.0.4638.69,,,2021-12-14 17:32:42,2021-12-14 17:32:42,0.002s,ERROR
,,,,,,,
Test Cases/microsites/Tc6-Support,Chrome 95.0.4638.69,,,2021-12-14 17:32:59,2021-12-14 17:33:12,12.595s,FAILED
"openBrowser("""")",Chrome 95.0.4638.69,,,2021-12-14 17:32:59,2021-12-14 17:32:59,0.398s,PASSED
navigateToUrl(Url),Chrome 95.0.4638.69,,,2021-12-14 17:32:59,2021-12-14 17:33:09,9.550s,PASSED
"setText(findTestObject(""Object Repository/Microsite Prod/Page_Olay Holiday Program/input_WELCOME_mat-input-0""), Username)",Chrome 95.0.4638.69,,,2021-12-14 17:33:09,2021-12-14 17:33:10,0.537s,PASSED
"setText(findTestObject(""Object Repository/Microsite Prod/Page_Olay Holiday Program/input__mat-input-1""), Password)",Chrome 95.0.4638.69,,,2021-12-14 17:33:10,2021-12-14 17:33:10,0.511s,PASSED
"click(findTestObject(""Object Repository/Microsite Prod/Page_Olay Holiday Program/button_SUBMIT""))",Chrome 95.0.4638.69,,,2021-12-14 17:33:10,2021-12-14 17:33:10,0.269s,PASSED
"click(findTestObject(""Object Repository/Microsite Prod/Page_Olay Holiday Program/button_SUPPORT""))",Chrome 95.0.4638.69,,,2021-12-14 17:33:10,2021-12-14 17:33:12,1.326s,FAILED
