Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Olay,Chrome 95.0.4638.69,,,2021-12-14 17:30:50,2021-12-14 17:33:12,2m - 21.962s,ERROR
,,,,,,,
Test Cases/microsites/Tc1-Login,Chrome 95.0.4638.69,Olay Login,,2021-12-14 17:30:50,2021-12-14 17:31:14,23.760s,PASSED
"openBrowser("""")",Chrome 95.0.4638.69,,,2021-12-14 17:30:50,2021-12-14 17:30:51,0.835s,PASSED
navigateToUrl(Url),Chrome 95.0.4638.69,,,2021-12-14 17:30:51,2021-12-14 17:31:12,20.825s,PASSED
maximizeWindow(),Chrome 95.0.4638.69,,,2021-12-14 17:31:12,2021-12-14 17:31:12,0.118s,PASSED
"setText(findTestObject(""Object Repository/Microsite Prod/Page_Olay Holiday Program/input_WELCOME_mat-input-0""), Username)",Chrome 95.0.4638.69,,,2021-12-14 17:31:12,2021-12-14 17:31:12,0.580s,PASSED
"setText(findTestObject(""Object Repository/Microsite Prod/Page_Olay Holiday Program/input__mat-input-1""), Password)",Chrome 95.0.4638.69,,,2021-12-14 17:31:12,2021-12-14 17:31:13,0.834s,PASSED
"click(findTestObject(""Object Repository/Microsite Prod/Page_Olay Holiday Program/button_SUBMIT""))",Chrome 95.0.4638.69,,,2021-12-14 17:31:13,2021-12-14 17:31:14,0.287s,PASSED
closeBrowser(),Chrome 95.0.4638.69,,,2021-12-14 17:31:14,2021-12-14 17:31:14,0.081s,PASSED
,,,,,,,
Test Cases/microsites/Tc2-Reset password,Chrome 95.0.4638.69,Forget password,,2021-12-14 17:31:14,2021-12-14 17:31:27,13.531s,PASSED
"openBrowser("""")",Chrome 95.0.4638.69,,,2021-12-14 17:31:14,2021-12-14 17:31:14,0.301s,PASSED
navigateToUrl(Url),Chrome 95.0.4638.69,,,2021-12-14 17:31:14,2021-12-14 17:31:25,11.142s,PASSED
"click(findTestObject(""Object Repository/Microsite Prod/Page_Olay Holiday Program/a_Already registered but forgot your passwo_7296b8""))",Chrome 95.0.4638.69,,,2021-12-14 17:31:25,2021-12-14 17:31:25,0.295s,PASSED
"setText(findTestObject(""Object Repository/Microsite Prod/Page_Olay Holiday Program/input_Forgot Password_mat-input-2""), Username)",Chrome 95.0.4638.69,,,2021-12-14 17:31:25,2021-12-14 17:31:27,1.138s,PASSED
"click(findTestObject(""Object Repository/Microsite Prod/Page_Olay Holiday Program/button_SUBMIT""))",Chrome 95.0.4638.69,,,2021-12-14 17:31:27,2021-12-14 17:31:27,0.485s,PASSED
closeBrowser(),Chrome 95.0.4638.69,,,2021-12-14 17:31:27,2021-12-14 17:31:27,0.077s,PASSED
,,,,,,,
Test Cases/microsites/Tc4- upload receipt,Chrome 95.0.4638.69,,,2021-12-14 17:31:27,2021-12-14 17:31:41,14.169s,PASSED
"openBrowser("""")",Chrome 95.0.4638.69,,,2021-12-14 17:31:27,2021-12-14 17:31:28,0.285s,PASSED
navigateToUrl(Url),Chrome 95.0.4638.69,,,2021-12-14 17:31:28,2021-12-14 17:31:38,10.349s,PASSED
"click(findTestObject(""Object Repository/Microsite Prod/Page_Olay Holiday Program/div_Email""))",Chrome 95.0.4638.69,,,2021-12-14 17:31:38,2021-12-14 17:31:38,0.276s,PASSED
"setText(findTestObject(""Object Repository/Microsite Prod/Page_Olay Holiday Program/input_WELCOME_mat-input-0""), Username)",Chrome 95.0.4638.69,,,2021-12-14 17:31:38,2021-12-14 17:31:39,0.522s,PASSED
"setText(findTestObject(""Object Repository/Microsite Prod/Page_Olay Holiday Program/input__mat-input-1""), Password)",Chrome 95.0.4638.69,,,2021-12-14 17:31:39,2021-12-14 17:31:39,0.509s,PASSED
"click(findTestObject(""Object Repository/Microsite Prod/Page_Olay Holiday Program/button_SUBMIT""))",Chrome 95.0.4638.69,,,2021-12-14 17:31:39,2021-12-14 17:31:40,0.274s,PASSED
"click(findTestObject(""Object Repository/Microsite Prod/Page_Olay Holiday Program/ngx-dropzone-label_Click here to upload rec_7b6b3a""))",Chrome 95.0.4638.69,,,2021-12-14 17:31:40,2021-12-14 17:31:41,1.478s,PASSED
