Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Olay,Chrome 95.0.4638.69,,,2021-12-14 17:45:42,2021-12-14 17:47:01,1m - 18.441s,PASSED
,,,,,,,
Test Cases/microsites/Tc1-Login,Chrome 95.0.4638.69,Olay Login,,2021-12-14 17:45:43,2021-12-14 17:46:07,24.049s,PASSED
"openBrowser("""")",Chrome 95.0.4638.69,,,2021-12-14 17:45:43,2021-12-14 17:45:44,0.798s,PASSED
navigateToUrl(Url),Chrome 95.0.4638.69,,,2021-12-14 17:45:44,2021-12-14 17:46:05,21.052s,PASSED
maximizeWindow(),Chrome 95.0.4638.69,,,2021-12-14 17:46:05,2021-12-14 17:46:05,0.119s,PASSED
"setText(findTestObject(""Object Repository/Microsite Prod/Page_Olay Holiday Program/input_WELCOME_mat-input-0""), Username)",Chrome 95.0.4638.69,,,2021-12-14 17:46:05,2021-12-14 17:46:06,0.981s,PASSED
"setText(findTestObject(""Object Repository/Microsite Prod/Page_Olay Holiday Program/input__mat-input-1""), Password)",Chrome 95.0.4638.69,,,2021-12-14 17:46:06,2021-12-14 17:46:06,0.535s,PASSED
"click(findTestObject(""Object Repository/Microsite Prod/Page_Olay Holiday Program/button_SUBMIT""))",Chrome 95.0.4638.69,,,2021-12-14 17:46:06,2021-12-14 17:46:07,0.288s,PASSED
closeBrowser(),Chrome 95.0.4638.69,,,2021-12-14 17:46:07,2021-12-14 17:46:07,0.078s,PASSED
,,,,,,,
Test Cases/microsites/Tc2-Reset password,Chrome 95.0.4638.69,Forget password,,2021-12-14 17:46:07,2021-12-14 17:46:22,15.092s,PASSED
"openBrowser("""")",Chrome 95.0.4638.69,,,2021-12-14 17:46:07,2021-12-14 17:46:07,0.280s,PASSED
navigateToUrl(Url),Chrome 95.0.4638.69,,,2021-12-14 17:46:07,2021-12-14 17:46:20,12.770s,PASSED
